State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,427173,11568,90.94,64.15
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,62110,1193,97.67,50.88
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,29373,565,93.51,49.4
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,125431,1944,94.38,51.26
Jharkhand,Godda,24.818899999999996,87.2941735483871,351,1313551,43230,874,93.76,46.02
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,31687,831,99.31,54.6
Jharkhand,Jamtara,23.978733180778015,86.95325080091534,363,791042,49419,808,95.4,53.89
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,38194,340,96.66,48.24
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,28769,351,98.51,56.24
Jharkhand,Pakur,24.572604280821892,87.69691969178076,353,900422,31414,328,98.92,39.19
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,68238,2155,92.77,52.82
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,350908,22538,94.94,65.59
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,34879,591,95.21,42.0
Jharkhand,Simdega,22.608760391198057,84.59193691931536,367,599578,16865,423,99.65,57.29
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,301389,3745,98.9,58.92
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,214253,3729,94.61,69.51
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,808827,17560,97.26,63.85
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,440374,9626,98.28,57.96
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,271439,3971,95.63,61.21
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,12516,117,98.37,34.06
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,326594,4987,95.98,57.33
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,238505,4510,100.83,71.91
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,307257,5711,97.36,65.53
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,372671,7320,97.23,67.26
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,347962,15013,97.08,70.47
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,198064,3373,98.19,65.77
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,404767,9752,97.14,55.62
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,400702,4851,101.03,68.97
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,295937,2456,95.04,67.94
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,113931,3308,101.93,74.46
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,309494,5051,97.89,66.14
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,223166,2135,98.58,58.21
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,391033,3367,99.51,63.67
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,640868,28397,98.54,65.38
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,314547,5200,99.98,50.8
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,363835,8791,99.76,72.06
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,562769,7971,98.36,67.69
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,224814,9070,109.45,78.69
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,507913,28842,110.02,87.08
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,771287,88737,102.67,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,244844,8250,100.61,83.23
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,511167,32653,113.55,84.76
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,237670,10378,107.98,79.36
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,630767,31542,111.34,85.01
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,464039,37849,103.92,88.62
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,641660,36791,109.82,84.74
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,730119,27909,109.81,80.51
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,587583,27162,106.69,79.7
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,783872,71621,108.73,84.37
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,721625,56148,110.78,85.82
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,149864,4712,103.5,78.98
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,81338,1290,97.63,58.27
Madhya Pradesh,Ashoknagar,24.630988461538458,77.82974493927134,459,845071,84720,619,90.4,55.51
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,277927,1712,102.06,67.44
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,181139,1158,98.17,39.68
Madhya Pradesh,Betul,21.964626315789474,77.7873428189117,447,1575362,230974,2109,97.11,59.65
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,107819,1166,83.74,64.29
Madhya Pradesh,Bhopal,23.480726143790857,77.39246623093679,444,2371061,452912,40788,91.81,70.04
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,112420,986,95.07,53.93
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,176056,1880,88.26,53.51
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,344875,3588,96.43,61.9
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,187731,1432,91.01,59.14
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,97696,616,87.25,62.46
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,270457,3518,94.16,59.18
Madhya Pradesh,Dhar,22.572681718963153,75.1105620736698,438,2185793,349639,2388,96.44,49.29
Madhya Pradesh,Dindori,22.837384370477572,81.04332966714911,453,704524,62372,554,100.2,53.75
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,144248,2482,91.19,52.68
Madhya Pradesh,Gwalior,26.040744419642852,78.12782433035713,421,2032036,306859,15779,86.37,66.79
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,95066,986,93.48,61.8
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,198076,2871,91.35,65.3
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,593576,48691,92.79,70.47
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,452023,20443,92.85,71.31
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,125411,744,99.03,34.35
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,172416,2179,95.17,61.2
Madhya Pradesh,Mandla,22.703487124463532,80.38600543633753,454,1054905,143803,912,100.83,57.35
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,239885,2324,96.3,62.26
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,131486,1781,84.01,60.01
Madhya Pradesh,Neemuch,24.703118933333357,75.06608186666664,432,826067,145258,1945,95.45,61.6
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,76097,653,90.55,54.36
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,194373,1141,90.13,61.6
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,231130,1611,95.62,52.03
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,213825,3644,97.1,56.76
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,251132,3406,93.05,60.96
Madhya Pradesh,Sagar,23.800318709677377,78.71940357771273,427,2378458,366494,4546,89.33,64.99
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,294702,3754,92.57,61.54
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,212138,1566,91.79,59.51
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,228695,1182,98.19,62.66
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,113184,1733,97.41,56.68
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,232735,1382,93.8,59.14
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,74770,273,90.13,47.69
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,148128,1852,87.66,52.19
Madhya Pradesh,Sidhi,24.175471899529057,82.1053783359498,462,1127033,102228,837,95.7,53.31
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,132725,1090,90.06,51.75
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,323379,7501,95.5,62.46
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,67975,839,94.98,55.32
Madhya Pradesh,Vidisha,23.828383079847917,77.9013507604563,443,1458875,181510,1926,89.57,59.15
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,314490,6163,94.56,77.8
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,512492,9438,95.06,77.96
Maharashtra,Aurangabad,20.097922883295197,75.32072196796334,235,2540073,44456,2362,92.62,57.71
Maharashtra,Aurangabad,20.097922883295197,75.32072196796334,515,3701282,589477,23258,92.33,67.65
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,227025,2932,98.23,74.97
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,402052,5614,91.61,66.48
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,423036,4767,93.36,72.69
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,418666,8239,96.14,71.62
Maharashtra,Dhule,21.274018690400514,74.58719071837263,498,2050862,315332,6065,94.57,63.09
Maharashtra,Gondiya,21.225008411214993,80.17522698598128,507,1322507,239981,2866,99.91,75.93
